Utterance	Intents
great	l_General, q_Chitchat
forget about it	l_General, q_Chitchat
sure	l_General, q_Chitchat
sorry	l_General, q_Chitchat
fine	l_General, q_Chitchat
okay	l_General, q_Chitchat
be quiet	l_General, q_Chitchat
not even close	l_General, q_Chitchat
ok	l_General, q_Chitchat
shut up	l_General, q_Chitchat
yes	l_General, q_Chitchat
stop talking	l_General, q_Chitchat
that is correct	l_General, q_Chitchat
sounds good	l_General, q_Chitchat
that is right	l_General, q_Chitchat
sounds great	l_General, q_Chitchat
shut your mouth	l_General, q_Chitchat
